id,name,slug,is_active,is_listed,is_redistributable,first_historical_data,last_historical_data
1325,PlasmaSwap (ETH),plasmaswap,1,0,1,2021-05-25T04:55:00.000Z,2023-11-08T04:00:00.000Z
1327,THORChain,thorchain-erc20,1,0,1,2021-06-01T14:25:00.000Z,2023-11-08T04:00:00.000Z
1329,MDEX (BSC),mdex-bsc,1,0,0,2021-04-20T11:50:00.000Z,2023-11-08T04:00:00.000Z
1333,KyberSwap Classic (Ethereum),kyberswap-classic,1,0,1,2021-05-18T06:20:00.000Z,2023-11-08T04:00:00.000Z
1334,Unicly,unicly,1,0,1,2021-04-27T03:25:00.000Z,2023-11-08T04:00:00.000Z
1336,Quidax,quidax,1,0,0,2022-02-14T04:45:00.000Z,2023-11-08T04:00:00.000Z
1339,Ubeswap,ubeswap,1,0,1,2021-07-08T08:25:00.000Z,2023-11-08T04:00:00.000Z
1340,Pangolin,pangolin,1,0,0,2021-04-26T11:55:00.000Z,2023-11-08T04:00:00.000Z
1342,Raydium,raydium,1,0,0,2021-05-09T03:50:00.000Z,2023-11-08T04:00:00.000Z
1344,PancakeSwap v2 (BSC),pancakeswap-v2,1,0,1,2021-04-28T09:20:00.000Z,2023-11-08T04:00:00.000Z
1348,Uniswap v3 (Ethereum),uniswap-v3,1,0,0,2021-05-19T13:20:00.000Z,2023-11-08T04:00:00.000Z
1356,ViperSwap,viperswap,1,0,0,2021-08-11T16:30:00.000Z,2023-11-08T04:00:00.000Z
1359,SpiritSwap,spiritswap,1,0,1,2021-06-01T17:50:00.000Z,2023-11-08T04:00:00.000Z
1368,Minter(Ethereum),minter-eth,1,0,0,2022-06-21T13:55:00.000Z,2023-11-08T04:00:00.000Z
1370,WardenSwap,wardenswap,1,0,1,2022-09-20T20:00:00.000Z,2023-11-08T04:00:00.000Z
1371,Globe Derivative Exchange,globe-derivative-exchange,1,0,1,2021-10-27T06:50:00.000Z,2023-11-08T04:00:00.000Z
1375,Binance TR,binance-tr,1,0,1,2021-09-27T07:50:00.000Z,2023-11-08T04:00:00.000Z
1378,Bunicorn,bunicorn,1,0,1,2021-07-20T12:50:00.000Z,2023-11-08T04:00:00.000Z
1386,Lydia Finance,lydia-finance,1,0,1,2021-08-09T04:40:00.000Z,2023-11-08T04:00:00.000Z
1390,Convergence,convergence,1,0,0,2021-07-13T07:45:00.000Z,2023-11-08T04:00:00.000Z
1395,BabySwap,babyswap,1,0,0,2021-07-08T13:40:00.000Z,2023-11-08T04:00:00.000Z
1398,CoinSwap Space,coinswap-space,1,0,0,2021-12-30T10:35:00.000Z,2023-11-08T04:00:00.000Z
1402,BXH,bxh,1,0,1,2022-09-20T20:55:00.000Z,2023-11-08T04:00:00.000Z
1404,Balancer v2,balancer-v2,1,0,1,2021-07-01T08:40:00.000Z,2023-11-08T04:00:00.000Z
1405,ProBit,probit-korea,1,0,1,2021-06-30T17:20:00.000Z,2023-11-08T04:00:00.000Z
1406,lnncoin,lnncoin,0,0,0,2023-11-08T04:01:25.972Z,2023-11-08T04:01:25.972Z
1407,Sovryn,sovryn,1,0,0,2021-10-26T07:35:00.000Z,2023-11-08T04:00:00.000Z
1408,ShibaSwap,shibaswap,1,0,1,2021-07-13T07:40:00.000Z,2023-11-08T04:00:00.000Z
1411,Coinstore,coinstore,1,0,0,2022-08-08T07:55:00.000Z,2023-11-08T04:00:00.000Z
1413,SushiSwap (BSC),sushiswap-bsc,1,0,1,2021-07-23T15:25:00.000Z,2023-11-08T04:00:00.000Z
1415,Mars Ecosystem,mars-ecosystem,1,0,1,2021-10-20T13:40:00.000Z,2023-11-08T04:00:00.000Z
1416,SushiSwap (Fantom),sushiswap-fantom,1,0,1,2021-07-21T08:55:00.000Z,2023-11-08T04:00:00.000Z
1417,SushiSwap (Polygon),sushiswap-polygon,1,0,1,2021-07-21T04:10:00.000Z,2023-11-08T04:00:00.000Z
1418,SushiSwap (Gnosis),sushiswap-xdai,1,0,1,2021-07-22T05:35:00.000Z,2023-11-08T04:00:00.000Z
1419,Uniswap v3 (Optimism),uniswap-v3-optimism,1,0,1,2021-07-22T22:00:00.000Z,2023-11-08T04:00:00.000Z
1420,KuSwap,kuswap,1,0,1,2021-07-22T04:10:00.000Z,2023-11-08T04:00:00.000Z
1426,Orca,orca,1,0,1,2021-08-09T04:40:00.000Z,2023-11-08T04:00:00.000Z
1428,Balanced,balanced,1,0,0,2021-08-15T03:35:00.000Z,2023-11-08T04:00:00.000Z
